Year,Month,Day,Hour,Minute,PM10
2020,1,17,22,10,17
2020,1,17,22,15,17
2020,1,17,22,20,17
2020,1,17,22,25,17
2020,1,17,22,30,17
2020,1,17,22,35,17
2020,1,17,22,40,17
2020,1,17,22,45,17
2020,1,17,22,50,17
2020,1,17,22,55,17
2020,1,17,23,0,17
2020,1,17,23,5,17
2020,1,17,23,10,17
2020,1,17,23,15,17
2020,1,17,23,20,17
2020,1,17,23,25,17
2020,1,17,23,30,17
2020,1,17,23,35,17
2020,1,17,23,40,17
2020,1,17,23,45,7.7
2020,1,17,23,50,6
2020,1,17,23,55,6
,,43848,,,6
2020,1,18,0,5,6
2020,1,18,0,10,6
2020,1,18,0,15,6
2020,1,18,0,20,6
2020,1,18,0,25,6
2020,1,18,0,30,6
2020,1,18,0,35,6
2020,1,18,0,40,6
2020,1,18,0,45,22.1
2020,1,18,0,50,25
2020,1,18,0,55,25
2020,1,18,1,0,25
2020,1,18,1,5,25
2020,1,18,1,10,25
2020,1,18,1,15,25
2020,1,18,1,20,25
2020,1,18,1,25,25
2020,1,18,1,30,25
2020,1,18,1,35,25
2020,1,18,1,40,25
2020,1,18,1,45,22.5
2020,1,18,1,50,22
2020,1,18,1,55,22
2020,1,18,2,0,22
2020,1,18,2,5,22
2020,1,18,2,10,22
2020,1,18,2,15,22
2020,1,18,2,20,22
2020,1,18,2,25,22
2020,1,18,2,30,22
2020,1,18,2,35,22
2020,1,18,2,40,22
2020,1,18,2,45,22
2020,1,18,2,50,22
2020,1,18,2,55,22
2020,1,18,3,0,22
2020,1,18,3,5,22
2020,1,18,3,10,22
2020,1,18,3,15,22
2020,1,18,3,20,22
2020,1,18,3,25,22
2020,1,18,3,30,22
2020,1,18,3,35,22
2020,1,18,3,40,22
2020,1,18,3,45,20.3
2020,1,18,3,50,20
2020,1,18,3,55,20
2020,1,18,4,0,20
2020,1,18,4,5,20
2020,1,18,4,10,20
2020,1,18,4,15,20
2020,1,18,4,20,20
2020,1,18,4,25,20
2020,1,18,4,30,20
2020,1,18,4,35,20
2020,1,18,4,40,20
2020,1,18,4,45,21.7
2020,1,18,4,50,22
2020,1,18,4,55,22
2020,1,18,5,0,22
2020,1,18,5,5,22
2020,1,18,5,10,22
2020,1,18,5,15,22
2020,1,18,5,20,22
2020,1,18,5,25,22
2020,1,18,5,30,22
2020,1,18,5,35,22
2020,1,18,5,40,22
2020,1,18,5,45,19.5
2020,1,18,5,50,19
2020,1,18,5,55,19
2020,1,18,6,0,19
2020,1,18,6,5,19
2020,1,18,6,10,19
2020,1,18,6,15,19
